Fiscal Year Ended,Tax Category,Tax or Fee,Amount Collected,Tax or Fee Sort Order
1995,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),0,51
1995,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),0,52
1995,Other Taxes and Fees,Tax Return Preparer Registration Fees,0,53
1995,Other Taxes and Fees,Office of General Services Procurement Fees,0,54
1995,Other Taxes and Fees,Total State Taxes and Fees Collected by the Department of Taxation and Finance,32710263971,55
2016,Personal Income,Personal Income Tax,47055282776,1
2016,Corporation and Business,Business Corporations Article 9-A,3744077623,2
2016,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",25108451,3
2016,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",16659513,4
2016,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",23383010,5
2016,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",-6946,6
2016,Corporation and Business,"Light, Water, Power, Article 9, Section 186",-10046629,7
2016,Corporation and Business,"Utilities, Article 9, Section 186-a",175675300,8
2016,Corporation and Business,"Telecommunications, Article 9, Section 186-e",435954772,9
2016,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",185344986,10
2016,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",0,11
2016,Corporation and Business,"Unrelated Business Corporations, Article 13",18897057,12
2016,Corporation and Business,"Clearing House Banks, Article 32",-581979,13
2016,Corporation and Business,"Other Commercial Banks, Article 32",-110533040,14
2016,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",-17839799,15
2016,Corporation and Business,"Insurance Corporations, Article 33",1277049188,16
2016,Corporation and Business,"Insurance, Direct Writings, Article 33-A",26042432,17
2016,Corporation and Business,"Lubricating Oils, Article 24",81,18
2016,Corporation and Business,"Oil Users, Article 9, Section 182-a",0,19
2016,Corporation and Business,"Petroleum Businesses, Article 13-A",1123850544,20
2016,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,12574403324,21
2016,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",64461437,22
2016,"Sales, Excise and Use","Motor Fuel, Article 12-A",438606234,23
2016,"Sales, Excise and Use",Petroleum Testing Fees,2844934,24
2016,"Sales, Excise and Use",Cigarette Tax,1221550673,25
2016,"Sales, Excise and Use",Tobacco Products Tax,22119210,26
2016,"Sales, Excise and Use",Cigarette Retail License Fees,7002902,27
2016,"Sales, Excise and Use",Cigarette Vending Machine Stickers,12300,28
2016,"Sales, Excise and Use",Medical Marijuana,10584,29
2016,"Sales, Excise and Use",Alcoholic Beverage Tax,254587467,30
2016,"Sales, Excise and Use",Non-Refillable Beverage Containers,0,31
2016,"Sales, Excise and Use",Highway Use Truck Mileage Tax,107769638,32
2016,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,20024585,33
2016,"Sales, Excise and Use",Highway Use Fuel Use Tax,30767490,34
2016,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,0,35
2016,"Sales, Excise and Use",Passenger Car Rental Tax,76534161,36
2016,Property Transfer,Estate Tax,1520710841,37
2016,Property Transfer,Gift Tax,81270,38
2016,Property Transfer,Real Estate Transfer Tax,1163059805,39
2016,Property Transfer,Real Property Transfer Gains Tax,9459,40
2016,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,11423068,41
2016,Other Taxes and Fees,Flat Racing Uncashed Tickets,2490402,43
2016,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,1070405,44
2016,Other Taxes and Fees,Harness Racing Uncashed Tickets,644764,45
2016,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,4688884,46
2016,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,0,47
2016,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),554316,48
2016,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,870892,49
2016,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),1793516,50
2016,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),27667921,51
2016,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),102685143,52
2016,Other Taxes and Fees,Tax Return Preparer Registration Fees,801689,53
2016,Total,Total State Taxes and Fees Collected by the Department of Taxation and Finance,71627564652,54
2017,Personal Income,Personal Income Tax,47565944451,1
2017,Corporation and Business,Business Corporations Article 9-A,802433266,2
2017,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",30143946,3
2017,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",48690569,4
2017,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",650218,5
2017,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",44020,6
2017,Corporation and Business,"Light, Water, Power, Article 9, Section 186",772617,7
2017,Corporation and Business,"Utilities, Article 9, Section 186-a",175154660,8
2017,Corporation and Business,"Telecommunications, Article 9, Section 186-e",359258180,9
2017,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",187719055,10
2017,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",0,11
2017,Corporation and Business,"Unrelated Business Corporations, Article 13",334933462,12
2017,Corporation and Business,"Clearing House Banks, Article 32",795040,13
2017,Corporation and Business,"Other Commercial Banks, Article 32",334138422,14
2017,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",2673410,15
2017,Corporation and Business,"Insurance Corporations, Article 33",1267062565,16
2017,Corporation and Business,"Insurance, Direct Writings, Article 33-A",21250709,17
2017,Corporation and Business,"Lubricating Oils, Article 24",0,18
2017,Corporation and Business,"Oil Users, Article 9, Section 182-a",0,19
2017,Corporation and Business,"Petroleum Businesses, Article 13-A",1123685240,20
2017,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,13005777492,21
2017,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",72282827,22
2017,"Sales, Excise and Use","Motor Fuel, Article 12-A",446732671,23
2017,"Sales, Excise and Use",Petroleum Testing Fees,2847710,24
2017,"Sales, Excise and Use",Cigarette Tax,1152056158,25
2017,"Sales, Excise and Use",Tobacco Products Tax,76427652,26
2017,"Sales, Excise and Use",Cigarette Retail License Fees,6694024,27
2017,"Sales, Excise and Use",Cigarette Vending Machine Stickers,12100,28
2017,"Sales, Excise and Use",Medical Marijuana,584588,29
2017,"Sales, Excise and Use",Alcoholic Beverage Tax,257716752,30
2017,"Sales, Excise and Use",Non-Refillable Beverage Containers,0,31
2017,"Sales, Excise and Use",Highway Use Truck Mileage Tax,108543144,32
2017,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,2249926,33
2017,"Sales, Excise and Use",Highway Use Fuel Use Tax,27902403,34
2017,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,0,35
2017,"Sales, Excise and Use",Passenger Car Rental Tax,79953183,36
2017,Property Transfer,Estate Tax,1090548679,37
2017,Property Transfer,Gift Tax,340136,38
2017,Property Transfer,Real Estate Transfer Tax,1126369125,39
2017,Property Transfer,Real Property Transfer Gains Tax,62599,40
2017,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,10603902,41
2017,Other Taxes and Fees,Flat Racing Uncashed Tickets,2065650,42
2017,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,425479,43
2017,Other Taxes and Fees,Harness Racing Uncashed Tickets,439437,44
2017,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,4726157,45
2017,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,0,46
2017,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),536332,47
2017,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,2377784,48
2017,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),1365743,49
2017,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),27551881,50
2017,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),0,51
2017,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),112862143,52
2017,Other Taxes and Fees,Tax Return Preparer Registration Fees,1362795,53
2017,Other Taxes and Fees,Office of General Services Procurement Fees,0,54
2017,Total,Total State Taxes and Fees Collected by the Department of Taxation and Finance,71215174435,55
2018,"Sales, Excise and Use",Petroleum Testing Fees,2843643,22
2018,"Sales, Excise and Use","Motor Fuel, Article 12-A",433780963,21
2018,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",200249254,10
2018,Corporation and Business,Business Corporations Article 9-A,2308653774,2
2018,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,10318002,37
2018,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,4723266,42
2018,"Sales, Excise and Use",Passenger Car Rental Tax,76341598,32
2018,Other Taxes and Fees,Harness Racing Uncashed Tickets,411416,40
2018,Property Transfer,Real Estate Transfer Tax,1125072656,35
2018,"Sales, Excise and Use",Tobacco Products Tax,73179953,24
2018,"Sales, Excise and Use",Medical Marijuana,1880525,27
2018,Corporation and Business,"Corporations, Art. 13",17562127,11
2018,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),508157,43
2018,Property Transfer,Real Property Transfer Gains Tax,-6970,36
2018,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",22076414,5
2018,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",78722098,20
2018,"Sales, Excise and Use",Alcoholic Beverage Tax,259251947,28
2018,"Sales, Excise and Use",Highway Use Truck Mileage Tax,110263278,29
2018,"Sales, Excise and Use",Cigarette Vending Machine Stickers,9000,26
2018,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,-42650772,30
2018,Personal Income,Personal Income Tax,51501337750,1
2018,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",-233589,6
2018,"Sales, Excise and Use",Highway Use Fuel Use Tax,25591768,31
2018,Corporation and Business,"Petroleum Businesses, Article 13-A",1092043177,18
2018,"Sales, Excise and Use",Cigarette Tax,1090458625,23
2018,Corporation and Business,"Clearing House Banks, Article 32",-2590,13
2018,Corporation and Business,"Utilities, Article 9, Section 186-a",167047690,8
2018,Corporation and Business,"Other Commercial Banks, Article 32",409895686,14
2018,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",180761,15
2018,Property Transfer,Gift Tax,103559,34
2018,Corporation and Business,"Insurance, Direct Writings, Article 33-A",21493143,17
2018,Property Transfer,Estate Tax,1307738295,33
2018,Corporation and Business,"Telecommunications, Article 9, Section 186-e",434094276,9
2018,Other Taxes and Fees,Authorized Combative Sports Tax,2032794,44
2018,Other Taxes and Fees,Flat Racing Uncashed Tickets,1908242,38
2018,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),117677579,47
2018,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,13631525077,19
2018,Other Taxes and Fees,Tax Return Preparer Registration Fees,1367718,48
2018,Corporation and Business,"Light, Water, Power, Article 9, Section 186",-767005,7
2018,Total,Total State Taxes and Fees Collected by the Department of Taxation and Finance,75995291042,49
2018,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),1461832,45
2018,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",13820183,4
2018,Corporation and Business,"Insurance Corporations, Article 33",1451493275,16
2018,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),27005383,46
2018,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,378317,39
2018,"Sales, Excise and Use",Cigarette Retail License Fees,6866144,25
2018,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",2906275,3
2018,Corporation and Business,"Unrelated Business Corporations, Article 13",409893096,12
2018,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,4676350,41
2019,Personal Income,Personal Income Tax,48087336735,1
2019,Corporation and Business,Business Corporations Article 9-A,3391844983,2
2019,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",469052,3
2019,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",27218450,4
2019,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",23504789,5
2019,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",36631,6
2019,Corporation and Business,"Light, Water, Power, Article 9, Section 186",-1707234,7
2019,Corporation and Business,"Utilities, Article 9, Section 186-a",183565695,8
2019,Corporation and Business,"Telecommunications, Article 9, Section 186-e",338681164,9
2019,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",233290722,10
2019,Corporation and Business,"Corporations, Art. 13",17867076,11
2019,Corporation and Business,"Unrelated Business Corporations, Article 13",-49411554,12
2019,Corporation and Business,"Clearing House Banks, Article 32",0,13
2019,Corporation and Business,"Other Commercial Banks, Article 32",-49411554,14
2019,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",8030444,15
2019,Corporation and Business,"Insurance Corporations, Article 33",1475914798,16
2019,Corporation and Business,"Insurance, Direct Writings, Article 33-A",13702176,17
2019,Corporation and Business,"Petroleum Businesses, Article 13-A",1165127034,18
2019,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,14251090611,19
2019,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",71790970,20
2019,"Sales, Excise and Use","Motor Fuel, Article 12-A",456330899,21
2019,"Sales, Excise and Use",Petroleum Testing Fees,2965382,22
2019,"Sales, Excise and Use",Cigarette Tax,1026590592,23
2019,"Sales, Excise and Use",Tobacco Products Tax,75098262,24
2019,"Sales, Excise and Use",Cigarette Retail License Fees,6096100,25
2019,"Sales, Excise and Use",Cigarette Vending Machine Stickers,10187,26
2019,"Sales, Excise and Use",Medical Marijuana,3867287,27
2019,"Sales, Excise and Use",Alcoholic Beverage Tax,262416873,28
2019,"Sales, Excise and Use",Highway Use Truck Mileage Tax,120639109,29
2019,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,-1552362,30
2019,"Sales, Excise and Use",Highway Use Fuel Use Tax,25920150,31
2019,"Sales, Excise and Use",Passenger Car Rental Tax,83708194,32
2019,Property Transfer,Estate Tax,1068306901,33
2019,Property Transfer,Gift Tax,20521,34
2019,Property Transfer,Real Estate Transfer Tax,1135270944,35
2019,Property Transfer,Real Property Transfer Gains Tax,0,36
2019,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,10510154,37
2019,Other Taxes and Fees,Flat Racing Uncashed Tickets,2075783,38
2019,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,353145,39
2019,Other Taxes and Fees,Harness Racing Uncashed Tickets,378404,40
2019,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,4504141,41
2019,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,4137384,42
2019,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),606013,43
2019,Other Taxes and Fees,Authorized Combative Sports Tax,1959268,44
2019,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),1820762,45
2019,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),27037114,46
2019,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),120802836,47
2019,Other Taxes and Fees,Tax Return Preparer Registration Fees,1333196,48
2019,Other Taxes and Fees,Employer Compensation Expense Tax,52664,49
2019,Total,Total State Taxes and Fees Collected by the Department of Taxation and Finance,73679612447,50
2020,Personal Income,Personal Income Tax,53659401043,1
2020,Corporation and Business,Business Corporations Article 9-A,3771833013,2
2020,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",2286007,3
2020,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",30181986,4
2020,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",15721057,5
2020,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",0,6
2020,Corporation and Business,"Light, Water, Power, Article 9, Section 186",-310738,7
2020,Corporation and Business,"Utilities, Article 9, Section 186-a",189014691,8
2020,Corporation and Business,"Telecommunications, Article 9, Section 186-e",354094608,9
2020,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",241643008,10
2020,Corporation and Business,"Corporations, Art. 13",19298425,11
2020,Corporation and Business,"Unrelated Business Corporations, Article 13",0,12
2020,Corporation and Business,"Clearing House Banks, Article 32",0,13
2020,Corporation and Business,"Other Commercial Banks, Article 32",9862683,14
2020,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",-1946426,15
2020,Corporation and Business,"Insurance Corporations, Article 33",1904118366,16
2020,Corporation and Business,"Insurance, Direct Writings, Article 33-A",14409591,17
2020,Corporation and Business,"Petroleum Businesses, Article 13-A",1160775304,18
2020,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,14933166678,19
2020,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",73090693,20
2020,"Sales, Excise and Use","Motor Fuel, Article 12-A",438754177,21
2020,"Sales, Excise and Use",Petroleum Testing Fees,2861892,22
2020,"Sales, Excise and Use",Cigarette Tax,950312852,23
2020,"Sales, Excise and Use",Tobacco Products Tax,79076739,24
2020,"Sales, Excise and Use",Cigarette Retail License Fees,5763152,25
2020,"Sales, Excise and Use",Cigarette Vending Machine Stickers,6800,26
2020,"Sales, Excise and Use",Medical Marijuana,5697554,27
2020,"Sales, Excise and Use",Opioid Excise Tax,19355864,28
2020,"Sales, Excise and Use",Alcoholic Beverage Tax,259018207,29
2020,"Sales, Excise and Use",Vapor Registration,2271600,30
2020,"Sales, Excise and Use",Vapor Tax,10389117,31
2020,"Sales, Excise and Use",Highway Use Truck Mileage Tax,112651298,32
2020,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,523359,33
2020,"Sales, Excise and Use",Highway Use Fuel Use Tax,28210958,34
2020,"Sales, Excise and Use",Passenger Car Rental Tax,102609913,35
2020,Property Transfer,Estate Tax,1070145027,36
2020,Property Transfer,Gift Tax,21279,37
2020,Property Transfer,Real Estate Transfer Tax,1123766119,38
2020,Property Transfer,Real Property Transfer Gains Tax,0,39
2020,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,9299033,40
2020,Other Taxes and Fees,Flat Racing Uncashed Tickets,1690636,41
2020,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,331865,42
2020,Other Taxes and Fees,Harness Racing Uncashed Tickets,409236,43
2020,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,4285714,44
2020,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,2310690,45
2020,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),402834,46
2020,Other Taxes and Fees,Authorized Combative Sports Tax,1619353,47
2020,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),1539577,48
2020,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),28414689,49
2020,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),117171638,50
2020,Other Taxes and Fees,Tax Return Preparer Registration Fees,1309835,51
2020,Other Taxes and Fees,Employer Compensation Expense Tax,1994060,52
2020,Total,Total State Taxes and Fees Collected by the Department of Taxation and Finance,80758855053,53
2021,Personal Income,Personal Income Tax,54966669672,1
2021,Corporation and Business,Business Corporations Article 9-A,3879661753,2
2021,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",1163849,3
2021,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",21994647,4
2021,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",10559596,5
2021,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",42680,6
2021,Corporation and Business,"Light, Water, Power, Article 9, Section 186",1043451,7
2021,Corporation and Business,"Utilities, Article 9, Section 186-a",192471755,8
2021,Corporation and Business,"Telecommunications, Article 9, Section 186-e",240821046,9
2021,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",247051701,10
2021,Corporation and Business,"Corporations, Art. 13",10441225,11
2021,Corporation and Business,"Unrelated Business Corporations, Article 13",0,12
2021,Corporation and Business,"Clearing House Banks, Article 32",0,13
2021,Corporation and Business,"Other Commercial Banks, Article 32",137441584,14
2021,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",87319,15
2021,Corporation and Business,"Insurance Corporations, Article 33",1782512518,16
2021,Corporation and Business,"Insurance, Direct Writings, Article 33-A",16806308,17
2021,Corporation and Business,"Petroleum Businesses, Article 13-A",941997180,18
2021,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,13347477200,19
2021,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",65500038,20
2021,"Sales, Excise and Use","Motor Fuel, Article 12-A",359516507,21
2021,"Sales, Excise and Use",Petroleum Testing Fees,2363217,22
2021,"Sales, Excise and Use",Cigarette Tax,915625459,23
2021,"Sales, Excise and Use",Tobacco Products Tax,84856559,24
2021,"Sales, Excise and Use",Cigarette Retail License Fees,5213124,25
2021,"Sales, Excise and Use",Cigarette Vending Machine Stickers,5000,26
2021,"Sales, Excise and Use",Medical Marijuana,8411022,27
2021,"Sales, Excise and Use",Opioid Excise Tax,29987869,28
2021,"Sales, Excise and Use",Alcoholic Beverage Tax,271086645,29
2021,"Sales, Excise and Use",Vapor Registration,2517247,30
2021,"Sales, Excise and Use",Vapor Tax,32451849,31
2021,"Sales, Excise and Use",Highway Use Truck Mileage Tax,110574747,32
2021,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,456048,33
2021,"Sales, Excise and Use",Highway Use Fuel Use Tax,23811523,34
2021,"Sales, Excise and Use",Passenger Car Rental Tax,67077795,35
2021,Property Transfer,Estate Tax,1537436320,36
2021,Property Transfer,Gift Tax,769,37
2021,Property Transfer,Real Estate Transfer Tax,948856243,38
2021,Property Transfer,Real Property Transfer Gains Tax,0,39
2021,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,5649729,40
2021,Other Taxes and Fees,Flat Racing Uncashed Tickets,582164,41
2021,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,18998,42
2021,Other Taxes and Fees,Harness Racing Uncashed Tickets,83176,43
2021,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,3983069,44
2021,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,1734076,45
2021,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),3990,46
2021,Other Taxes and Fees,Authorized Combative Sports Tax,71762,47
2021,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),1189769,48
2021,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),24072089,49
2021,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),139266099,50
2021,Other Taxes and Fees,Tax Return Preparer Registration Fees,1291908,51
2021,Other Taxes and Fees,Employer Compensation Expense Tax,3226867,52
2021,Total,Total State Taxes and Fees Collected by the Department of Taxation and Finance,80445164911,53
